people_count,audio_energy,synthetic_label
13,62.64,normal
12,61.04,normal
13,54.77,normal
7,55.13,normal
22,47.6,normal
14,57.21,normal
9,56.47,normal
16,51.96,normal
19,58.68,normal
16,42.86,normal
9,50.74,normal
17,50.31,normal
14,62.63,normal
21,60.21,normal
10,51.89,normal
18,46.2,normal
21,51.21,normal
13,64.25,normal
10,52.6,normal
13,61.06,normal
14,51.23,normal
15,59.48,normal
15,41.97,normal
17,60.08,normal
14,55.06,normal
61,93.74,anomaly
18,46.74,normal
14,60.49,normal
14,55.6,normal
11,57.38,normal
18,46.43,normal
14,62.74,normal
15,62.51,normal
14,56.7,normal
17,51.65,normal
15,64.99,normal
25,53.04,normal
15,54.94,normal
9,48.66,normal
13,47.46,normal
13,52.64,normal
15,64.04,normal
20,55.09,normal
18,53.81,normal
8,56.51,normal
14,51.79,normal
20,60.53,normal
26,47.45,normal
12,64.79,normal
12,58.08,normal
16,57.17,normal
16,57.54,normal
12,64.16,normal
16,57.99,normal
15,63.6,normal
21,42.91,normal
11,58.89,normal
15,62.14,normal
16,48.45,normal
13,60.29,normal
15,61.88,normal
17,62.37,normal
16,46.41,normal
16,55.66,normal
57,88.33,anomaly
19,62.93,normal
11,55.83,normal
59,85.26,anomaly
13,49.6,normal
16,54.41,normal
14,49.75,normal
12,62.84,normal
6,66.03,normal
5,59.3,normal
20,66.08,normal
17,55.55,normal
13,56.8,normal
12,52.29,normal
10,49.14,normal
13,50.44,normal
16,58.47,normal
14,62.24,normal
20,58.58,normal
10,61.97,normal
20,53.82,normal
17,58.98,normal
13,46.51,normal
14,45.84,normal
17,48.01,normal
18,68.14,normal
14,52.34,normal
17,42.82,normal
19,60.53,normal
15,60.34,normal
17,60.35,normal
19,61.83,normal
12,53.32,normal
17,58.05,normal
8,51.45,normal
14,51.55,normal
18,62.32,normal
8,56.48,normal
13,54.57,normal
16,59.56,normal
18,59.84,normal
12,57.96,normal
13,50.49,normal
14,41.72,normal
17,52.36,normal
13,52.79,normal
16,60.77,normal
16,50.74,normal
